15.8, -33.88, 26.19, -152.24, -33.7351, 26.3045, -151.717
16, -34.11, 26.92, -153.05, -33.7843, 26.4719, -151.711
16.2, -33.41, 26.89, -151.91, -33.7203, 26.5944, -151.709
16.4, -33.82, 26.43, -152.7, -33.733, 26.5336, -151.737
16.6, -33.29, 26.43, -152.67, -33.6605, 26.4963, -151.775
16.8, -33.38, 26.83, -152.06, -33.6104, 26.5886, -151.777
17, -33.47, 26.37, -152.12, -33.588, 26.5196, -151.798
17.2, -33.35, 26.72, -153.55, -33.5421, 26.5625, -151.837
17.4, -33.62, 26.75, -153.52, -33.5454, 26.5975, -151.866
17.6, -33.65, 26.34, -152.94, -33.5602, 26.5094, -151.898
17.8, -33.94, 26.45, -152.24, -33.6197, 26.4863, -151.898
18, -34.26, 26.54, -152.94, -33.718, 26.4914, -151.9
18.2, -33.91, 26.6, -152.53, -33.7464, 26.5193, -151.903
18.4, -33.62, 27.04, -153.93, -33.7145, 26.6548, -151.931
18.6, -34.64, 26.34, -151.94, -33.8625, 26.5534, -151.918
18.8, -33.76, 26.63, -151.89, -33.8483, 26.5829, -151.916
19, -33.65, 26.28, -152.94, -33.816, 26.4852, -151.957
19.2, -34.32, 26.66, -152.88, -33.89, 26.523, -151.957
19.4, -34.14, 26.51, -151.86, -33.9308, 26.5206, -151.947
19.6, -33.65, 26.72, -153.03, -33.8813, 26.5725, -151.971
19.8, -33.56, 26.81, -153.11, -33.8227, 26.6298, -151.996
20, -34.05, 26.72, -153.26, -33.8519, 26.6395, -152.015
20.2, -33.85, 26.66, -152.32, -33.8503, 26.6423, -152.021
20.4, -33.53, 26.51, -153.52, -33.7954, 26.5909, -152.069
20.6, -34.11, 26.22, -153.46, -33.8425, 26.4634, -152.107
20.8, -33.97, 26.1, -152.35, -33.8658, 26.3542, -152.123
21, -33.79, 26.22, -152.88, -33.8528, 26.3092, -152.147
21.2, -33.7, 26.51, -152.24, -33.8259, 26.3665, -152.146
21.4, -33.53, 26.16, -151.91, -33.7813, 26.3083, -152.158
21.6, -33.24, 26.05, -151.94, -33.6984, 26.236, -152.18
21.8, -33.88, 26.63, -152.18, -33.7221, 26.3473, -152.159
22, -33.97, 25.87, -152.62, -33.7646, 26.203, -152.182
22.2, -33.88, 26.4, -152.53, -33.7804, 26.2584, -152.177
22.4, -33.21, 26.95, -153.46, -33.679, 26.4529, -152.193
22.6, -33.38, 26.72, -153.17, -33.6231, 26.5177, -152.213
22.8, -33.09, 26.45, -152.29, -33.5376, 26.4961, -152.234
23, -32.62, 26.28, -152.7, -33.3913, 26.4295, -152.28
23.2, -32.8, 26.51, -153.03, -33.2918, 26.4427, -152.311
23.4, -33.56, 26.25, -152.97, -33.332, 26.3737, -152.327
23.6, -34.26, 26.19, -152.47, -33.4808, 26.3148, -152.311
23.8, -33.91, 26.16, -154.02, -33.5472, 26.258, -152.341
24, -33.12, 26.37, -153.05, -33.4764, 26.2872, -152.363
24.2, -33.38, 26.43, -153.43, -33.4546, 26.3162, -152.384
24.4, -33.56, 26.1, -152.41, -33.4724, 26.2496, -152.391
24.6, -33.38, 26.75, -152.44, -33.4532, 26.3972, -152.374
24.8, -33.44, 27.24, -152.82, -33.4409, 26.6393, -152.349
25, -32.83, 26.98, -152.32, -33.3402, 26.7409, -152.352
25.2, -33.24, 27.01, -152.94, -33.318, 26.8106, -152.357
25.4, -33.94, 26.31, -153.55, -33.4169, 26.6475, -152.387
25.6, -34.05, 26.48, -152.97, -33.5184, 26.5925, -152.388
25.8, -33.94, 26.54, -152.62, -33.5865, 26.5764, -152.382
26, -33.5, 27.16, -153.67, -33.5638, 26.7391, -152.387
26.2, -33.56, 26.43, -152.88, -33.5634, 26.6408, -152.411
26.4, -33.03, 26.98, -152.73, -33.4743, 26.7396, -152.419
26.6, -33.41, 26.34, -152.65, -33.4654, 26.6163, -152.444
26.8, -33.44, 26.81, -152.47, -33.4593, 26.6725, -152.437
27, -33.18, 26.48, -153.05, -33.4147, 26.6114, -152.467
27.2, -33.35, 26.34, -152.67, -33.4054, 26.5277, -152.485
27.4, -33.18, 26.54, -152.12, -33.3707, 26.5352, -152.483
27.6, -33.7, 26.45, -152.62, -33.4228, 26.5064, -152.48
