48600,-104.89,0.81
48800,-95.01,0.82
49000,-81.22,0.83
49200,-64.14,0.83
49400,-44.48,0.83
49600,-23.06,0.83
49800,-0.75,0.83
50000,21.57,0.83
50200,43.00,0.83
50400,62.69,0.83
50600,79.81,0.82
50800,93.65,0.81
51000,103.59,0.81
51200,109.12,0.80
51400,109.94,0.79
51600,105.90,0.79
51800,97.08,0.78
52000,83.77,0.78
52200,66.52,0.77
52400,46.07,0.77
52600,23.35,0.77
52800,-0.55,0.77
53000,-24.48,0.77
53200,-47.29,0.77
53400,-67.89,0.78
53600,-85.33,0.78
53800,-98.86,0.79
54000,-107.91,0.79
54200,-112.18,0.80
54400,-111.56,0.81
54600,-106.19,0.81
54800,-96.36,0.82
55000,-82.57,0.83
55200,-65.42,0.83
55400,-45.65,0.83
55600,-24.08,0.83
55800,-1.56,0.83
56000,21.00,0.83
56200,42.70,0.83
56400,62.68,0.83
56600,80.11,0.82
56800,94.25,0.82
57000,104.48,0.81
57200,110.29,0.80
57400,111.33,0.79
57600,107.48,0.79
57800,98.78,0.78
58000,85.52,0.78
58200,68.24,0.77
58400,47.68,0.77
58600,24.77,0.77
58800,0.61,0.77
59000,-23.65,0.77
59200,-46.83,0.77
59400,-67.82,0.77
59600,-85.67,0.78
59800,-99.58,0.79
60000,-108.98,0.79
60200,-113.55,0.80
60400,-113.18,0.81
60600,-107.98,0.81
60800,-98.26,0.82
61000,-84.49,0.83
61200,-67.29,0.83
61400,-47.40,0.83
61600,-25.63,0.84
61800,-2.85,0.84
62000,20.02,0.83
62200,42.08,0.83
62400,62.45,0.83
62600,80.29,0.82
62800,94.86,0.82
63000,105.49,0.81
63200,111.68,0.80
63400,113.06,0.79
63600,109.48,0.79
63800,100.97,0.78
64000,87.82,0.78
64200,70.53,0.77
64400,49.86,0.77
64600,26.73,0.77
64800,2.25,0.77
65000,-22.40,0.77
65200,-46.04,0.77
65400,-67.53,0.77
65600,-85.89,0.78
65800,-100.29,0.79
66000,-110.16,0.79
66200,-115.14,0.80
66400,-115.10,0.81
66600,-110.15,0.81
66800,-100.59,0.82
67000,-86.89,0.83
67200,-69.66,0.83
67400,-49.65,0.83
67600,-27.66,0.84
67800,-4.60,0.84
68000,18.64,0.83
68200,41.13,0.83
68400,61.97,0.83
68600,80.31,0.82
68800,95.39,0.82
69000,106.52,0.81
69200,113.19,0.80
69400,115.00,0.79
69600,111.78,0.79
69800,103.54,0.78
70000,90.55,0.78
70200,73.30,0.77
70400,52.54,0.77
70600,29.20,0.76
70800,4.38,0.76
71000,-20.72,0.77
71200,-44.88,0.77
71400,-66.95,0.77
71600,-85.91,0.78
71800,-100.91,0.78
72000,-111.34,0.79
72200,-116.81,0.80
72400,-117.20,0.81
72600,-112.58,0.81
72800,-103.25,0.82
73000,-89.66,0.83
73200,-72.44,0.83
73400,-52.33,0.83
73600,-30.14,0.84
73800,-6.77,0.84
74000,16.86,0.84
74200,39.81,0.83
74400,61.17,0.83
74600,80.08,0.82
74800,95.74,0.82
75000,107.46,0.81
75200,114.69,0.80
75400,117.02,0.80
75600,114.24,0.79
75800,106.36,0.78
76000,93.60,0.78
76200,76.46,0.77
76400,55.65,0.77
76600,32.12,0.76
76800,6.97,0.76
77000,-18.58,0.77
77200,-43.31,0.77
77400,-66.01,0.77
77600,-85.63,0.78
77800,-101.31,0.78
78000,-112.39,0.79
78200,-118.45,0.80
78400,-119.35,0.81
78600,-115.15,0.81
78800,-106.12,0.82
79000,-92.72,0.83
79200,-75.57,0.83
79400,-55.39,0.83
79600,-33.03,0.84
79800,-9.37,0.84
80000,14.65,0.84
80200,38.08,0.83
80400,59.99,0.83
80600,79.50,0.82
80800,95.81,0.82
81000,108.19,0.81
81200,116.06,0.80
81400,118.99,0.80
81600,116.75,0.79
81800,109.31,0.78
82000,96.88,0.78
82200,79.92,0.77
82400,59.14,0.77
82600,35.47,0.76
82800,10.03,0.76
83000,-15.97,0.76
83200,-41.26,0.77
83400,-64.63,0.77
83600,-84.97,0.78
83800,-101.38,0.78
84000,-113.18,0.79
84200,-119.93,0.80
84400,-121.43,0.81
84600,-117.73,0.81
84800,-109.10,0.82
85000,-95.97,0.83
85200,-78.95,0.83
85400,-58.79,0.84
85600,-36.30,0.84
85800,-12.39,0.84
86000,11.99,0.84
86200,35.88,0.83
86400,58.36,0.83
86600,78.50,0.83
86800,95.49,0.82
87000,108.58,0.81
87200,117.17,0.81
87400,120.79,0.80
87600,119.18,0.79
87800,112.28,0.78
88000,100.28,0.78
88200,83.60,0.77
88400,62.94,0.77
88600,39.22,0.76
88800,13.55,0.76
89000,-12.85,0.76
89200,-38.69,0.77
89400,-62.72,0.77
89600,-83.81,0.78
89800,-101.01,0.78
90000,-113.60,0.79
90200,-121.11,0.80
90400,-123.31,0.80
90600,-120.22,0.81
90800,-112.08,0.82
91000,-99.32,0.83
91200,-82.54,0.83
91400,-62.47,0.84
91600,-39.94,0.84
91800,-15.85,0.84
92000,8.85,0.84
92200,33.18,0.84
92400,56.20,0.83
92600,76.99,0.83
92800,94.68,0.82
93000,108.53,0.81
93200,117.89,0.81
93400,122.28,0.80
93600,121.40,0.79
93800,115.15,0.78
94000,103.70,0.78
94200,87.43,0.77
94400,67.01,0.77
94600,43.35,0.76
94800,17.53,0.76
95000,-9.19,0.76
95200,-35.53,0.76
95400,-60.21,0.77
95600,-82.05,0.77
95800,-100.08,0.78
96000,-113.53,0.79
96200,-121.88,0.80
96400,-124.87,0.80
96600,-122.49,0.81
96800,-114.96,0.82
97000,-102.69,0.83
97200,-86.27,0.83
97400,-66.40,0.84
97600,-43.92,0.84
97800,-19.73,0.84
98000,5.21,0.84
98200,29.93,0.84
98400,53.46,0.83
98600,74.87,0.83
98800,93.28,0.82
99000,107.92,0.82
99200,118.12,0.81
99400,123.36,0.80
99600,123.30,0.79
99800,117.83,0.78
100000,107.05,0.78
100200,91.33,0.77
100400,71.29,0.77
100600,47.82,0.76
100800,21.98,0.76
101000,-4.97,0.76
101200,-31.74,0.76
101400,-57.02,0.77
101600,-79.62,0.77
101800,-98.50,0.78
102000,-112.85,0.79
102200,-122.12,0.79
102400,-126.00,0.80
102600,-124.45,0.81
102800,-117.66,0.82
103000,-106.01,0.82
103200,-90.06,0.83
103400,-70.53,0.83
103600,-48.22,0.84
103800,-24.04,0.84
104000,1.06,0.84
104200,26.09,0.84
104400,50.08,0.83
104600,72.09,0.83
104800,91.22,0.82
105000,106.67,0.82
105200,117.75,0.81
105400,123.92,0.80
105600,124.79,0.79
105800,120.21,0.78
106000,110.25,0.78
106200,95.22,0.77
106400,75.72,0.77
106600,52.59,0.76
106800,26.88,0.76
107000,-0.19,0.76
107200,-27.29,0.76
107400,-53.12,0.77
107600,-76.44,0.77
107800,-96.18,0.78
108000,-111.48,0.78
108200,-121.74,0.79
108400,-126.61,0.80
108600,-126.01,0.81
108800,-120.08,0.82
109000,-109.19,0.82
109200,-93.87,0.83
109400,-74.80,0.83
109600,-52.80,0.84
109800,-28.75,0.84
110000,-3.61,0.84
110200,21.64,0.84
110400,46.03,0.84
110600,68.60,0.83
110800,88.43,0.82
111000,104.70,0.82
111200,116.71,0.81
111400,123.87,0.80
111600,125.77,0.79
111800,122.21,0.79
112000,113.20,0.78
112200,99.04,0.77
112400,80.24,0.77
112600,57.62,0.76
112800,32.19,0.76
113000,5.16,0.76
113200,-22.16,0.76
113400,-48.45,0.77
113600,-72.45,0.77
113800,-93.04,0.78
114000,-109.32,0.78
114200,-120.64,0.79
114400,-126.60,0.80
114600,-127.07,0.81
114800,-122.15,0.81
115000,-112.16,0.82
115200,-97.62,0.83
115400,-79.18,0.83
115600,-57.64,0.84
115800,-33.86,0.84
116000,-8.79,0.84
116200,16.58,0.84
116400,41.29,0.84
116600,64.35,0.83
116800,84.85,0.83
117000,101.96,0.82
117200,114.92,0.81
117400,123.13,0.80
117600,126.16,0.80
117800,123.73,0.79
118000,115.84,0.78
118200,102.69,0.77
118400,84.78,0.77
118600,62.85,0.76
118800,37.88,0.76
119000,11.05,0.76
119200,-16.36,0.76
119400,-43.01,0.76
119600,-67.62,0.77
119800,-89.04,0.77
120000,-106.32,0.78
120200,-118.76,0.79
120400,-125.89,0.80
120600,-127.55,0.80
120800,-123.77,0.81
121000,-114.85,0.82
121200,-101.25,0.83
121400,-83.61,0.83
121600,-62.67,0.84
121800,-39.32,0.84
122000,-14.46,0.84
122200,10.91,0.84
122400,35.84,0.84
122600,59.33,0.83
122800,80.46,0.83
123000,98.39,0.82
123200,112.33,0.81
123400,121.65,0.81
123600,125.88,0.80
123800,124.71,0.79
124000,118.07,0.78
124200,106.11,0.77
124400,89.27,0.77
